2019-10-05 05:34:32 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:34:32 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:34:32 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:34:32 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:34:32 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:34:32 INFO  logTranx:8 - Ejecutando : execution(List cajero.CajeroTipoA.cargaComandos())
2019-10-05 05:34:39 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoListarCuentas.getNombre())
2019-10-05 05:34:39 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoRetirar.getNombre())
2019-10-05 05:34:39 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoConsignar.getNombre())
2019-10-05 05:34:39 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoTransferir.getNombre())
2019-10-05 05:34:42 INFO  logTranx:8 - Ejecutando : execution(void control.ComandoRetirar.ejecutar(Banco))
2019-10-05 05:34:44 INFO  logTranx:8 - Ejecutando : execution(Cuenta modelo.Banco.buscarCuenta(String))
2019-10-05 05:34:49 INFO  AccountSave:13 - vaya vaya
2019-10-05 05:34:49 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:34:49 INFO  ComandoRetirar:46 - Cuenta: 1,retiro: 123
2019-10-05 05:34:49 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoListarCuentas.getNombre())
2019-10-05 05:34:49 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoRetirar.getNombre())
2019-10-05 05:34:49 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoConsignar.getNombre())
2019-10-05 05:34:49 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoTransferir.getNombre())
2019-10-05 05:35:10 INFO  logTranx:8 - Ejecutando : execution(void control.ComandoListarCuentas.ejecutar(Banco))
2019-10-05 05:35:10 INFO  logTranx:8 - Ejecutando : execution(Collection modelo.Banco.getCuentas())
2019-10-05 05:35:10 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:35:10 INFO  logTranx:8 - Ejecutando : execution(long modelo.Cuenta.getSaldo())
2019-10-05 05:35:10 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:35:10 INFO  logTranx:8 - Ejecutando : execution(long modelo.Cuenta.getSaldo())
2019-10-05 05:35:10 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:35:10 INFO  logTranx:8 - Ejecutando : execution(long modelo.Cuenta.getSaldo())
2019-10-05 05:35:10 INFO  ComandoListarCuentas:27 - cuentas listadas
2019-10-05 05:35:10 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoListarCuentas.getNombre())
2019-10-05 05:35:10 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoRetirar.getNombre())
2019-10-05 05:35:10 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoConsignar.getNombre())
2019-10-05 05:35:10 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoTransferir.getNombre())
